linha,data,hora,tempo_total_min,num_pings,velocidade_media,num_veiculos,periodo
321,2025-08-01,4,7.733333333333333,28,29.607142857142858,1,fora_pico
321,2025-08-01,5,75.86666666666666,173,28.184971098265898,6,fora_pico
321,2025-08-01,6,140.01666666666668,284,22.429577464788732,11,pico_manha
321,2025-08-01,7,198.93333333333334,461,23.657266811279825,14,pico_manha
321,2025-08-01,8,268.55,445,23.95056179775281,16,pico_manha
321,2025-08-01,9,227.3,421,26.304038004750595,16,fora_pico
321,2025-08-01,10,188.46666666666667,347,28.939481268011527,12,fora_pico
321,2025-08-01,11,198.36666666666667,323,28.851393188854487,13,fora_pico
321,2025-08-01,12,207.31666666666666,367,27.185286103542236,13,fora_pico
321,2025-08-01,13,175.46666666666667,297,25.801346801346803,12,fora_pico
321,2025-08-01,14,161.93333333333334,277,24.72202166064982,11,fora_pico
321,2025-08-01,15,218.25,352,23.985795454545453,14,fora_pico
321,2025-08-01,16,282.4166666666667,544,16.845588235294116,14,fora_pico
321,2025-08-01,17,289.5833333333333,519,12.506743737957612,12,pico_tarde
321,2025-08-01,18,293.0,543,15.132596685082873,16,pico_tarde
321,2025-08-01,19,228.15,439,20.47608200455581,13,pico_tarde
321,2025-08-01,20,156.55,247,28.380566801619434,10,fora_pico
321,2025-08-01,21,78.21666666666667,140,32.80714285714286,5,fora_pico
321,2025-08-01,22,38.28333333333334,55,34.67272727272727,2,fora_pico
321,2025-08-01,23,17.53333333333333,31,35.354838709677416,2,fora_pico
323,2025-08-01,0,6.166666666666667,13,41.23076923076923,1,fora_pico
323,2025-08-01,4,31.05,45,37.577777777777776,3,fora_pico
323,2025-08-01,5,87.88333333333334,120,28.483333333333334,7,fora_pico
323,2025-08-01,6,155.18333333333334,213,21.314553990610328,10,pico_manha
323,2025-08-01,7,153.20000000000002,170,23.441176470588236,9,pico_manha
323,2025-08-01,8,186.28333333333333,197,23.0,12,pico_manha
323,2025-08-01,9,174.88333333333335,194,25.015463917525775,11,fora_pico
323,2025-08-01,10,134.35,114,32.026315789473685,10,fora_pico
323,2025-08-01,11,169.5,184,30.38586956521739,13,fora_pico
323,2025-08-01,12,204.03333333333333,214,27.677570093457945,13,fora_pico
323,2025-08-01,13,170.1,165,25.757575757575758,12,fora_pico
323,2025-08-01,14,170.0,202,22.00990099009901,11,fora_pico
323,2025-08-01,15,173.70000000000002,191,21.664921465968586,10,fora_pico
323,2025-08-01,16,220.15,281,13.238434163701067,11,fora_pico
323,2025-08-01,17,216.03333333333336,310,10.541935483870967,9,pico_tarde
323,2025-08-01,18,218.53333333333336,278,14.514388489208633,11,pico_tarde
323,2025-08-01,19,173.95000000000002,211,16.28909952606635,10,pico_tarde
323,2025-08-01,20,121.58333333333334,126,29.03174603174603,7,fora_pico
323,2025-08-01,21,86.45,77,36.857142857142854,6,fora_pico
323,2025-08-01,22,37.16666666666667,35,33.51428571428571,4,fora_pico
323,2025-08-01,23,24.916666666666668,33,31.96969696969697,2,fora_pico
325,2025-08-01,5,29.166666666666668,78,30.358974358974358,3,fora_pico
325,2025-08-01,6,67.2,189,25.40740740740741,6,pico_manha
325,2025-08-01,7,96.83333333333333,179,24.98324022346369,6,pico_manha
325,2025-08-01,8,109.58333333333334,189,22.238095238095237,6,pico_manha
325,2025-08-01,9,84.93333333333334,148,25.993243243243242,5,fora_pico
325,2025-08-01,10,81.78333333333333,115,32.10434782608696,5,fora_pico
325,2025-08-01,11,53.31666666666667,122,31.368852459016395,4,fora_pico
325,2025-08-01,12,75.95,122,27.475409836065573,4,fora_pico
325,2025-08-01,13,92.18333333333334,151,23.86092715231788,6,fora_pico
325,2025-08-01,14,91.33333333333333,174,27.183908045977013,6,fora_pico
325,2025-08-01,15,117.43333333333334,208,23.14423076923077,7,fora_pico
325,2025-08-01,16,108.93333333333334,196,17.510204081632654,6,fora_pico
325,2025-08-01,17,126.5,254,14.059055118110237,6,pico_tarde
325,2025-08-01,18,103.73333333333333,181,17.685082872928177,6,pico_tarde
325,2025-08-01,19,86.91666666666667,157,14.420382165605096,5,pico_tarde
325,2025-08-01,20,30.45,79,32.48101265822785,3,fora_pico
325,2025-08-01,21,44.333333333333336,98,33.11224489795919,3,fora_pico
325,2025-08-01,22,34.7,59,36.08474576271186,2,fora_pico
325,2025-08-01,23,19.516666666666666,34,26.647058823529413,1,fora_pico
327,2025-08-01,3,16.183333333333334,14,44.0,1,fora_pico
327,2025-08-01,4,21.26666666666667,24,45.291666666666664,2,fora_pico
327,2025-08-01,5,24.883333333333336,30,34.06666666666667,2,fora_pico
327,2025-08-01,6,45.16666666666667,51,20.666666666666668,2,pico_manha
327,2025-08-01,7,56.96666666666667,75,19.493333333333332,3,pico_manha
327,2025-08-01,8,42.6,47,25.23404255319149,4,pico_manha
327,2025-08-01,9,59.300000000000004,60,26.366666666666667,4,fora_pico
327,2025-08-01,10,53.083333333333336,48,30.958333333333332,4,fora_pico
327,2025-08-01,11,60.31666666666667,62,25.85483870967742,4,fora_pico
327,2025-08-01,12,31.583333333333336,43,24.837209302325583,2,fora_pico
327,2025-08-01,13,49.0,40,27.325,3,fora_pico
327,2025-08-01,14,53.61666666666667,49,24.6734693877551,4,fora_pico
327,2025-08-01,15,60.11666666666667,80,18.1625,4,fora_pico
327,2025-08-01,16,68.75,97,12.536082474226804,3,fora_pico
327,2025-08-01,17,63.71666666666667,87,10.126436781609195,3,pico_tarde
327,2025-08-01,18,83.46666666666667,107,16.242990654205606,4,pico_tarde
327,2025-08-01,19,66.45,74,19.66216216216216,4,pico_tarde
327,2025-08-01,20,50.550000000000004,43,25.53488372093023,4,fora_pico
327,2025-08-01,21,42.56666666666667,46,33.869565217391305,3,fora_pico
327,2025-08-01,22,24.383333333333333,29,36.44827586206897,2,fora_pico
327,2025-08-01,23,15.133333333333333,11,53.27272727272727,1,fora_pico
485,2025-08-01,6,6.183333333333334,13,40.38461538461539,1,pico_manha
485,2025-08-01,7,62.650000000000006,126,33.285714285714285,5,pico_manha
485,2025-08-01,8,105.61666666666667,213,29.896713615023476,7,pico_manha
485,2025-08-01,9,100.83333333333334,164,35.926829268292686,7,fora_pico
485,2025-08-01,10,272.98333333333335,500,22.308,8,fora_pico
485,2025-08-01,11,264.31666666666666,389,20.439588688946014,9,fora_pico
485,2025-08-01,12,418.6166666666667,744,14.188172043010752,10,fora_pico
485,2025-08-01,13,390.6666666666667,727,15.939477303988996,10,fora_pico
485,2025-08-01,14,176.86666666666667,290,17.382758620689657,7,fora_pico
485,2025-08-01,15,145.96666666666667,249,22.650602409638555,6,fora_pico
485,2025-08-01,16,101.26666666666667,162,21.75925925925926,4,fora_pico
485,2025-08-01,17,99.98333333333333,158,12.145569620253164,3,pico_tarde
485,2025-08-01,18,121.93333333333334,183,25.442622950819672,5,pico_tarde
485,2025-08-01,19,168.48333333333335,237,22.139240506329113,7,pico_tarde
485,2025-08-01,20,165.9,305,12.58688524590164,5,fora_pico
485,2025-08-01,21,167.56666666666666,272,28.033088235294116,5,fora_pico
485,2025-08-01,22,1.0,2,25.5,1,fora_pico
486,2025-08-01,14,24.85,51,31.45098039215686,2,fora_pico
486,2025-08-01,15,52.21666666666667,105,26.62857142857143,4,fora_pico
486,2025-08-01,16,66.78333333333335,132,14.598484848484848,3,fora_pico
486,2025-08-01,17,69.48333333333333,119,18.025210084033613,5,pico_tarde
486,2025-08-01,18,78.83333333333334,117,25.256410256410255,4,pico_tarde
486,2025-08-01,19,66.51666666666667,74,29.472972972972972,4,pico_tarde
486,2025-08-01,20,33.86666666666667,48,39.958333333333336,4,fora_pico
486,2025-08-01,21,16.433333333333334,32,32.84375,1,fora_pico
616,2025-08-01,4,12.983333333333334,16,9.5625,1,fora_pico
616,2025-08-01,5,108.06666666666666,164,4.878048780487805,3,fora_pico
616,2025-08-01,6,131.75,338,23.923076923076923,4,pico_manha
616,2025-08-01,7,153.4,433,24.489607390300232,4,pico_manha
616,2025-08-01,8,180.0,455,22.479120879120877,4,pico_manha
616,2025-08-01,9,130.31666666666666,378,21.40740740740741,4,fora_pico
616,2025-08-01,10,77.35,193,26.202072538860104,3,fora_pico
616,2025-08-01,11,133.86666666666667,355,24.543661971830986,3,fora_pico
616,2025-08-01,12,81.95,226,27.668141592920353,4,fora_pico
616,2025-08-01,13,99.53333333333333,265,24.275471698113208,4,fora_pico
616,2025-08-01,14,133.46666666666667,381,22.99737532808399,3,fora_pico
616,2025-08-01,15,163.28333333333333,395,22.222784810126583,4,fora_pico
616,2025-08-01,16,181.18333333333334,500,20.384,4,fora_pico
616,2025-08-01,17,169.81666666666666,412,19.313106796116504,4,pico_tarde
616,2025-08-01,18,170.53333333333333,415,12.997590361445782,4,pico_tarde
616,2025-08-01,19,101.76666666666667,262,28.519083969465647,3,pico_tarde
616,2025-08-01,20,109.66666666666667,291,26.625429553264606,3,fora_pico
616,2025-08-01,21,41.36666666666667,114,28.140350877192983,2,fora_pico
616,2025-08-01,22,6.383333333333334,13,0.6153846153846154,1,fora_pico
635,2025-08-01,6,19.51666666666667,39,15.256410256410257,1,pico_manha
635,2025-08-01,7,18.950000000000003,38,13.5,1,pico_manha
635,2025-08-01,8,42.85,67,25.83582089552239,3,pico_manha
635,2025-08-01,9,46.150000000000006,53,27.754716981132077,3,fora_pico
635,2025-08-01,10,53.61666666666667,87,30.977011494252874,3,fora_pico
635,2025-08-01,11,32.833333333333336,27,32.629629629629626,2,fora_pico
635,2025-08-01,12,15.933333333333335,31,26.677419354838708,1,fora_pico
635,2025-08-01,15,25.950000000000003,32,32.4375,1,fora_pico
635,2025-08-01,17,24.400000000000002,29,21.79310344827586,1,pico_tarde
635,2025-08-01,18,37.733333333333334,55,16.09090909090909,1,pico_tarde
635,2025-08-01,19,12.850000000000001,25,3.88,1,pico_tarde
913,2025-08-01,5,51.833333333333336,66,25.59090909090909,2,fora_pico
913,2025-08-01,6,131.38333333333335,220,21.55,3,pico_manha
913,2025-08-01,7,89.38333333333334,137,25.255474452554743,3,pico_manha
913,2025-08-01,8,134.96666666666667,226,17.336283185840706,3,pico_manha
913,2025-08-01,9,134.20000000000002,206,22.810679611650485,3,fora_pico
913,2025-08-01,10,113.51666666666668,184,19.592391304347824,3,fora_pico
913,2025-08-01,11,127.83333333333334,212,20.212264150943398,3,fora_pico
913,2025-08-01,12,107.76666666666668,173,21.612716763005782,3,fora_pico
913,2025-08-01,13,139.11666666666667,205,17.88780487804878,3,fora_pico
913,2025-08-01,14,112.08333333333334,172,21.180232558139537,3,fora_pico
913,2025-08-01,15,138.70000000000002,233,20.07725321888412,3,fora_pico
913,2025-08-01,16,140.48333333333335,218,16.51834862385321,3,fora_pico
913,2025-08-01,17,129.36666666666667,215,12.506976744186046,3,pico_tarde
913,2025-08-01,18,146.36666666666667,248,12.165322580645162,3,pico_tarde
913,2025-08-01,19,103.65,165,26.078787878787878,3,pico_tarde
913,2025-08-01,20,100.55000000000001,159,26.735849056603772,3,fora_pico
913,2025-08-01,21,65.0,108,24.85185185185185,2,fora_pico
913,2025-08-01,22,39.28333333333334,58,27.655172413793103,1,fora_pico
913,2025-08-01,23,20.0,21,35.333333333333336,1,fora_pico
945,2025-08-01,4,7.683333333333334,14,33.07142857142857,1,fora_pico
945,2025-08-01,5,31.183333333333337,61,34.22950819672131,1,fora_pico
945,2025-08-01,6,71.0,135,28.451851851851853,2,pico_manha
945,2025-08-01,7,36.78333333333333,54,24.11111111111111,2,pico_manha
945,2025-08-01,8,47.96666666666667,91,24.021978021978022,1,pico_manha
945,2025-08-01,20,25.166666666666668,49,45.795918367346935,1,fora_pico
945,2025-08-01,21,50.93333333333334,79,31.329113924050635,2,fora_pico
945,2025-08-01,22,25.233333333333334,47,46.42553191489362,1,fora_pico
SP635,2025-08-01,7,33.91666666666667,67,20.059701492537314,1,pico_manha
SP635,2025-08-01,8,34.93333333333334,69,19.52173913043478,2,pico_manha
SP635,2025-08-01,9,42.28333333333334,64,29.421875,2,fora_pico
SP635,2025-08-01,10,48.88333333333333,57,29.982456140350877,2,fora_pico
SP635,2025-08-01,11,21.583333333333336,42,33.42857142857143,1,fora_pico
SP635,2025-08-01,12,43.733333333333334,59,17.949152542372882,1,fora_pico
SP635,2025-08-01,13,50.85,62,35.11290322580645,2,fora_pico
SP635,2025-08-01,14,49.11666666666667,77,30.7012987012987,2,fora_pico
SP635,2025-08-01,15,42.900000000000006,65,24.23076923076923,2,fora_pico
SP635,2025-08-01,16,56.733333333333334,92,22.934782608695652,2,fora_pico
SP635,2025-08-01,17,12.583333333333334,6,28.666666666666668,1,pico_tarde
SP635,2025-08-01,18,59.583333333333336,116,10.163793103448276,1,pico_tarde
SP635,2025-08-01,19,12.566666666666666,6,37.5,1,pico_tarde
SP635,2025-08-01,20,30.833333333333336,62,14.548387096774194,1,fora_pico
